level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
5	1	2	4	1	5	579	456	52	18	96.653397	FOR
5	1	2	4	1	6	639	455	130	23	96.623032	QUARTER
5	1	2	4	1	7	779	455	87	17	96.179245	ENDED
5	1	2	4	1	8	875	454	67	19	96.179245	JUNE
5	1	2	4	1	9	950	454	31	21	96.616089	30,
5	1	2	4	1	10	996	454	50	18	96.189644	2026
2	1	3	0	0	0	72	474	2092	14	-1	
3	1	3	1	0	0	72	474	2092	14	-1	
4	1	3	1	1	0	72	474	2092	14	-1	
5	1	3	1	1	1	72	474	2092	14	95.000000	 
2	1	4	0	0	0	1111	513	1053	9	-1	
3	1	4	1	0	0	1111	513	1053	9	-1	
4	1	4	1	1	0	1111	513	1053	9	-1	
5	1	4	1	1	1	1111	513	1053	9	95.000000	 
2	1	5	0	0	0	1107	551	1039	8	-1	
3	1	5	1	0	0	1107	551	1039	8	-1	
4	1	5	1	1	0	1107	551	1039	8	-1	
5	1	5	1	1	1	1107	551	1039	8	95.000000	 
2	1	6	0	0	0	72	633	2092	13	-1	
3	1	6	1	0	0	72	633	2092	13	-1	
4	1	6	1	1	0	72	633	2092	13	-1	
5	1	6	1	1	1	72	633	2092	13	95.000000	 
2	1	7	0	0	0	1111	748	1053	9	-1	
3	1	7	1	0	0	1111	748	1053	9	-1	
4	1	7	1	1	0	1111	748	1053	9	-1	
5	1	7	1	1	1	1111	748	1053	9	95.000000	 
2	1	8	0	0	0	1111	787	1053	7	-1	
3	1	8	1	0	0	1111	787	1053	7	-1	
4	1	8	1	1	0	1111	787	1053	7	-1	
5	1	8	1	1	1	1111	787	1053	7	95.000000	 
2	1	9	0	0	0	1111	1052	1054	7	-1	
3	1	9	1	0	0	1111	1052	1054	7	-1	
4	1	9	1	1	0	1111	1052	1054	7	-1	
5	1	9	1	1	1	1111	1052	1054	7	95.000000	 
2	1	10	0	0	0	1111	1090	1054	7	-1	
3	1	10	1	0	0	1111	1090	1054	7	-1	
4	1	10	1	1	0	1111	1090	1054	7	-1	
5	1	10	1	1	1	1111	1090	1054	7	95.000000	 
2	1	11	0	0	0	1111	1127	1054	8	-1	
3	1	11	1	0	0	1111	1127	1054	8	-1	
4	1	11	1	1	0	1111	1127	1054	8	-1	
5	1	11	1	1	1	1111	1127	1054	8	95.000000	 
2	1	12	0	0	0	1111	1165	1054	8	-1	
3	1	12	1	0	0	1111	1165	1054	8	-1	
4	1	12	1	1	0	1111	1165	1054	8	-1	
5	1	12	1	1	1	1111	1165	1054	8	95.000000	 
2	1	13	0	0	0	1111	1203	1054	7	-1	
3	1	13	1	0	0	1111	1203	1054	7	-1	
4	1	13	1	1	0	1111	1203	1054	7	-1	
5	1	13	1	1	1	1111	1203	1054	7	95.000000	 
2	1	14	0	0	0	1111	1353	1054	7	-1	
3	1	14	1	0	0	1111	1353	1054	7	-1	
4	1	14	1	1	0	1111	1353	1054	7	-1	
5	1	14	1	1	1	1111	1353	1054	7	95.000000	 
2	1	15	0	0	0	1111	1391	1054	8	-1	
3	1	15	1	0	0	1111	1391	1054	8	-1	
4	1	15	1	1	0	1111	1391	1054	8	-1	
5	1	15	1	1	1	1111	1391	1054	8	95.000000	 
2	1	16	0	0	0	1111	1428	1055	12	-1	
3	1	16	1	0	0	1111	1428	1055	12	-1	
4	1	16	1	1	0	1111	1428	1055	12	-1	
5	1	16	1	1	1	1111	1428	1055	12	95.000000	 
2	1	17	0	0	0	1111	1582	1054	7	-1	
3	1	17	1	0	0	1111	1582	1054	7	-1	
4	1	17	1	1	0	1111	1582	1054	7	-1	
5	1	17	1	1	1	1111	1582	1054	7	95.000000	 
2	1	18	0	0	0	1111	1619	1054	7	-1	
3	1	18	1	0	0	1111	1619	1054	7	-1	
4	1	18	1	1	0	1111	1619	1054	7	-1	
5	1	18	1	1	1	1111	1619	1054	7	95.000000	 
2	1	19	0	0	0	1111	1655	1054	12	-1	
3	1	19	1	0	0	1111	1655	1054	12	-1	
4	1	19	1	1	0	1111	1655	1054	12	-1	
5	1	19	1	1	1	1111	1655	1054	12	95.000000	 
2	1	20	0	0	0	71	1735	2095	10	-1	
3	1	20	1	0	0	71	1735	2095	10	-1	
4	1	20	1	1	0	71	1735	2095	10	-1	
5	1	20	1	1	1	71	1735	2095	10	95.000000	 
2	1	21	0	0	0	95	488	2062	1361	-1	
3	1	21	1	0	0	95	488	2062	1361	-1	
4	1	21	1	1	0	1427	488	663	24	-1	
5	1	21	1	1	1	1427	490	89	22	96.859039	Quarter
5	1	21	1	1	2	1524	490	63	18	96.677750	ended
5	1	21	1	1	3	1965	489	53	18	96.712814	Year
5	1	21	1	1	4	2026	488	64	19	96.577187	ended
4	1	21	1	2	0	1191	527	897	22	-1	
5	1	21	1	2	1	1191	531	120	18	96.632118	30-06-2026
5	1	21	1	2	2	1461	529	119	18	95.021194	31-03-2026
5	1	21	1	2	3	1715	528	120	18	96.451683	30-06-2025
5	1	21	1	2	4	1967	527	121	18	95.972298	31-03-2026
4	1	21	1	3	0	95	554	202	19	-1	
5	1	21	1	3	1	95	554	58	19	96.032936	S.No.
5	1	21	1	3	2	178	555	119	18	47.140968	[Particulars
4	1	21	1	4	0	1194	588	876	22	-1	
5	1	21	1	4	1	1194	591	114	19	96.698631	Unaudited
5	1	21	1	4	2	1477	590	86	18	96.071945	Audited
5	1	21	1	4	3	1719	588	113	19	96.309280	Unaudited
5	1	21	1	4	4	1983	588	87	18	95.377831	Audited
4	1	21	1	5	0	140	653	130	19	-1	
5	1	21	1	5	1	140	653	5	18	67.735870	I
5	1	21	1	5	2	178	654	92	18	58.837246	}Revenue
4	1	21	1	6	0	178	685	1966	30	-1	
5	1	21	1	6	1	178	692	87	18	96.478256	Revenue
5	1	21	1	6	2	274	692	48	18	96.442719	from
5	1	21	1	6	3	331	695	106	20	96.341446	operations
5	1	21	1	6	4	1281	688	89	20	91.359245	8,196.86
5	1	21	1	6	5	1550	687	87	21	28.841316	1137202
5	1	21	1	6	6	1792	686	88	20	95.503326	3,012.12
5	1	21	1	6	7	2040	685	104	20	94.255577	21,835.63
4	1	21	1	7	0	176	723	1969	25	-1	
5	1	21	1	7	1	176	730	58	18	96.590256	Other
5	1	21	1	7	2	243	736	74	12	96.001793	income
5	1	21	1	7	3	1313	726	56	17	96.026596	84.72
5	1	21	1	7	4	1572	724	65	19	95.134262	102.35
5	1	21	1	7	5	1827	723	52	19	91.174309	11.05
5	1	21	1	7	6	2075	723	70	19	95.562103	188.42
4	1	21	1	8	0	176	761	1969	26	-1	
5	1	21	1	8	1	176	768	56	19	96.003418	Total
5	1	21	1	8	2	242	768	77	18	96.022316	income
5	1	21	1	8	3	1280	764	89	21	91.677666	8,281.58
5	1	21	1	8	4	1549	763	88	21	86.888550	7,839.37
5	1	21	1	8	5	1790	762	90	21	85.578857	3,023.17
5	1	21	1	8	6	2039	761	106	21	94.645836	22,024.05
4	1	21	1	9	0	135	806	141	23	-1	
5	1	21	1	9	1	135	806	15	18	82.428207	IL
5	1	21	1	9	2	178	806	98	23	71.917709	JExpenses
4	1	21	1	10	0	176	837	1970	25	-1	
5	1	21	1	10	1	176	844	46	18	96.623764	Cost
5	1	21	1	10	2	231	843	22	18	96.858688	of
5	1	21	1	10	3	259	842	93	20	95.359741	materials
5	1	21	1	10	4	359	842	102	19	96.589783	consumed
5	1	21	1	10	5	1281	839	88	20	93.591904	7,432.77
5	1	21	1	10	6	1549	838	88	19	92.766220	6,236.92
5	1	21	1	10	7	1792	837	88	20	88.041916	2,046.10
5	1	21	1	10	8	2043	837	103	19	91.930771	17,154.80
4	1	21	1	11	0	176	875	1975	29	-1	
5	1	21	1	11	1	176	881	78	23	96.884720	Change
5	1	21	1	11	2	263	887	17	12	95.940475	in
5	1	21	1	11	3	290	884	112	15	76.277740	inventories
5	1	21	1	11	4	410	879	22	19	96.981506	of
5	1	21	1	11	5	439	879	78	19	96.806656	finished
5	1	21	1	11	6	526	879	60	24	85.045280	goods
5	1	21	1	11	7	601	879	35	19	85.045280	and
5	1	21	1	11	8	645	879	176	23	87.781311	work-in-progress
5	1	21	1	11	9	1291	877	87	21	94.870674	(970.39)
5	1	21	1	11	10	1573	876	73	22	95.972237	(78.72)
5	1	21	1	11	11	1815	875	65	18	93.881760	194.37
5	1	21	1	11	12	2085	875	66	18	91.078232	128.11
4	1	21	1	12	0	177	913	1968	29	-1	
5	1	21	1	12	1	177	918	101	24	96.400375	Employee
5	1	21	1	12	2	287	918	80	19	96.412674	benefits
5	1	21	1	12	3	375	924	82	17	96.042084	expense
5	1	21	1	12	4	1301	915	69	18	91.117630	246.86
5	1	21	1	12	5	1569	914	68	18	92.042877	214.33
5	1	21	1	12	6	1815	913	66	18	92.564972	160.79
5	1	21	1	12	7	2073	913	72	18	94.691139	802.85
4	1	21	1	13	0	177	950	1967	25	-1	
5	1	21	1	13	1	177	957	80	18	96.837402	Finance
5	1	21	1	13	2	265	960	51	15	91.471214	costs
5	1	21	1	13	3	1304	953	65	18	95.677849	115.24
5	1	21	1	13	4	1582	952	55	17	95.069168	81.53
5	1	21	1	13	5	1837	951	43	17	85.806580	9.78
5	1	21	1	13	6	2076	950	68	19	78.463913	129.58
4	1	21	1	14	0	177	988	1965	30	-1	
5	1	21	1	14	1	177	995	131	23	96.314476	Depreciation
5	1	21	1	14	2	318	993	34	19	96.785706	and
5	1	21	1	14	3	361	997	125	15	96.362106	amortisation
5	1	21	1	14	4	495	999	92	18	91.624634	expenses
5	1	21	1	14	5	1314	990	55	18	72.757332	33,25)
5	1	21	1	14	6	1582	990	56	17	93.366585	38.34
5	1	21	1	14	7	1825	989	54	17	95.742271	33.23
5	1	21	1	14	8	2076	988	66	19	94.302277	142.11
4	1	21	1	15	0	176	1026	1969	29	-1	
5	1	21	1	15	1	176	1032	58	19	96.801300	Other
5	1	21	1	15	2	241	1037	93	18	96.429192	expenses
5	1	21	1	15	3	1300	1028	69	19	94.736183	282.47
5	1	21	1	15	4	1569	1027	68	18	96.747643	398.75
5	1	21	1	15	5	1815	1026	65	18	95.372627	162.84
5	1	21	1	15	6	2072	1026	73	18	92.788269	901.45
4	1	21	1	16	0	175	1064	1971	30	-1	
5	1	21	1	16	1	175	1071	57	18	74.919098	Total
5	1	21	1	16	2	241	1076	95	18	96.425392	expenses
5	1	21	1	16	3	1281	1067	89	21	87.779068	7,140.20
5	1	21	1	16	4	1549	1065	89	22	84.556786	6,891.15
5	1	21	1	16	5	1791	1065	87	21	92.264030	2,607.11
5	1	21	1	16	6	2043	1064	103	21	95.585686	19,258.85
4	1	21	1	17	0	129	1102	2018	29	-1	
5	1	21	1	17	1	129	1108	25	18	52.102821	ILI
5	1	21	1	17	2	165	1103	8	32	67.961372	|
5	1	21	1	17	3	178	1108	59	19	73.348694	Profit
5	1	21	1	17	4	247	1108	70	18	96.522095	before
5	1	21	1	17	5	325	1107	121	24	96.266403	exceptional
5	1	21	1	17	6	455	1107	55	19	96.266403	items
5	1	21	1	17	7	518	1107	39	19	95.795029	and
5	1	21	1	17	8	567	1110	31	15	95.795029	tax
5	1	21	1	17	9	1283	1105	87	21	95.072311	1,141.38
5	1	21	1	17	10	1569	1103	68	19	68.965927	948.22
5	1	21	1	17	11	1812	1103	69	18	86.243477	416.06
5	1	21	1	17	12	2053	1102	94	21	96.130257	2,765.20
4	1	21	1	18	0	129	1145	1989	24	-1	
5	1	21	1	18	1	129	1146	26	18	93.129845	IV
5	1	21	1	18	2	165	1141	8	32	49.685921	J
5	1	21	1	18	3	177	1146	127	23	67.125839	Exceptional
5	1	21	1	18	4	314	1145	54	19	96.851814	items
5	1	21	1	18	5	377	1146	49	21	96.336967	(net)
5	1	21	1	18	6	1337	1152	7	3	27.448990	-
5	1	21	1	18	7	1606	1151	6	2	14.706764	-
5	1	21	1	18	8	1849	1150	6	3	41.984184	:
5	1	21	1	18	9	2111	1150	7	2	90.830902	-
4	1	21	1	19	0	134	1177	2013	25	-1	
5	1	21	1	19	1	134	1184	16	17	92.342934	V
5	1	21	1	19	2	177	1183	60	19	45.443588	[Profit
5	1	21	1	19	3	248	1183	69	19	96.827110	before
5	1	21	1	19	4	325	1186	31	15	96.613251	tax
5	1	21	1	19	5	1283	1180	87	20	68.594368	1,141.38
5	1	21	1	19	6	1569	1179	68	18	73.855537	948,22
5	1	21	1	19	7	1812	1178	69	18	94.368828	416.06
5	1	21	1	19	8	2053	1177	94	21	96.353928	2,765.20
4	1	21	1	20	0	128	1221	183	23	-1	
5	1	21	1	20	1	128	1221	25	18	84.473358	VI
5	1	21	1	20	2	166	1217	6	32	46.608044	|
5	1	21	1	20	3	176	1221	41	19	46.608044	Tax
5	1	21	1	20	4	225	1227	86	17	96.889442	expense
4	1	21	1	21	0	175	1253	1970	24	-1	
5	1	21	1	21	1	175	1259	77	18	96.686577	Current
5	1	21	1	21	2	261	1261	29	16	96.957108	tax
5	1	21	1	21	3	1300	1255	70	18	68.575745	324.09
5	1	21	1	21	4	1569	1254	69	18	93.551407	233.47
5	1	21	1	21	5	1816	1253	64	18	95.362488	109.87
5	1	21	1	21	6	2072	1253	73	18	95.877373	696.03
4	1	21	1	22	0	176	1290	1980	29	-1	
5	1	21	1	22	1	176	1295	118	24	96.357674	Adjustment
5	1	21	1	22	2	303	1296	18	18	96.982330	of
5	1	21	1	22	3	322	1295	38	19	96.920296	tax
5	1	21	1	22	4	369	1295	76	23	96.364868	relating
5	1	21	1	22	5	454	1298	17	15	96.364868	to
5	1	21	1	22	6	480	1295	64	18	96.571968	earlier
5	1	21	1	22	7	552	1294	63	24	96.571968	period
5	1	21	1	22	8	1338	1303	6	2	83.841797	-
5	1	21	1	22	9	1632	1301	6	3	79.719788	-
5	1	21	1	22	10	1875	1301	6	2	83.494873	-
5	1	21	1	22	11	2091	1290	65	22	95.676147	(0.68)
4	1	21	1	23	0	176	1328	1971	28	-1	
5	1	21	1	23	1	176	1333	89	19	96.855606	Deferred
5	1	21	1	23	2	274	1337	30	15	96.859131	tax
5	1	21	1	23	3	313	1332	67	24	96.859131	charge
5	1	21	1	23	4	388	1332	73	22	96.639297	(credit)
5	1	21	1	23	5	1305	1330	74	22	90.726425	(35.94)
5	1	21	1	23	6	1595	1329	43	18	90.748833	8.82
5	1	21	1	23	7	1841	1329	40	17	94.305038	1.40
5	1	21	1	23	8	2090	1328	57	18	95.921677	11.69
4	1	21	1	24	0	175	1366	1972	28	-1	
5	1	21	1	24	1	175	1372	57	18	96.823799	Total
5	1	21	1	24	2	241	1374	32	16	96.961685	tax
5	1	21	1	24	3	281	1377	85	17	96.928192	expense
5	1	21	1	24	4	1300	1368	70	18	93.165207	288.15
5	1	21	1	24	5	1569	1367	70	18	90.258041	242.29
5	1	21	1	24	6	1815	1366	66	18	88.353394	111.27
5	1	21	1	24	7	2073	1366	74	18	94.207153	707.04
4	1	21	1	25	0	123	1403	2024	28	-1	
5	1	21	1	25	1	123	1409	35	18	42.362553	VII}
5	1	21	1	25	2	176	1408	61	19	42.362553	Profit
5	1	21	1	25	3	248	1408	31	19	96.963318	for
5	1	21	1	25	4	287	1409	34	18	96.652023	the
5	1	21	1	25	5	329	1408	67	23	90.474426	period
5	1	21	1	25	6	405	1408	6	18	90.474426	/
5	1	21	1	25	7	419	1413	47	18	96.964943	year
5	1	21	1	25	8	1300	1406	70	18	75.964699	853.23
5	1	21	1	25	9	1569	1405	69	18	92.099716	705.93
5	1	21	1	25	10	1811	1404	70	18	82.022163	304,79
5	1	21	1	25	11	2053	1403	94	21	88.491142	2,058.16
4	1	21	1	26	0	118	1447	439	24	-1	
5	1	21	1	26	1	118	1448	45	18	0.882874	VII]
5	1	21	1	26	2	175	1448	65	18	0.882874	Other
5	1	21	1	26	3	247	1447	164	24	96.718994	comprehensive
5	1	21	1	26	4	419	1447	75	18	96.764008	income
5	1	21	1	26	5	502	1447	55	22	96.450455	(loss)
4	1	21	1	27	0	176	1484	665	24	-1	
5	1	21	1	27	1	176	1487	55	18	96.804825	Items
5	1	21	1	27	2	239	1486	36	19	95.870514	that
5	1	21	1	27	3	284	1485	38	19	95.870514	will
5	1	21	1	27	4	332	1489	29	15	96.847290	not
5	1	21	1	27	5	371	1485	22	19	96.944336	be
5	1	21	1	27	6	402	1485	113	19	96.810577	reclassified
5	1	21	1	27	7	524	1489	18	15	96.068565	to
5	1	21	1	27	8	551	1489	96	15	96.068565	statement
5	1	21	1	27	9	656	1485	23	18	96.865112	of
5	1	21	1	27	10	684	1484	55	24	96.837669	profit
5	1	21	1	27	11	748	1485	35	18	96.885368	and
5	1	21	1	27	12	793	1485	37	18	93.164764	loss
5	1	21	1	27	13	839	1491	2	12	91.535156	:
4	1	21	1	28	0	182	1519	1964	28	-1	
5	1	21	1	28	1	182	1524	181	18	91.776436	-Re-measurement
5	1	21	1	28	2	372	1529	53	18	92.742058	gains
5	1	21	1	28	3	433	1523	6	18	92.742058	/
5	1	21	1	28	4	446	1523	77	21	96.786278	(losses)
5	1	21	1	28	5	531	1529	23	12	96.977432	on
5	1	21	1	28	6	563	1522	76	19	96.480179	defined
5	1	21	1	28	7	649	1522	69	19	96.836906	benefit
5	1	21	1	28	8	727	1522	52	24	96.989922	plans
5	1	21	1	28	9	1330	1521	39	18	76.398582	115
5	1	21	1	28	10	1595	1520	43	18	96.528618	0.80
5	1	21	1	28	11	1841	1519	40	18	89.343933	1.16
5	1	21	1	28	12	2100	1519	46	17	87.495079	0.52
4	1	21	1	29	0	182	1556	1974	28	-1	
5	1	21	1	29	1	182	1562	85	18	92.862366	-Income
5	1	21	1	29	2	274	1562	39	17	96.929642	Tax
5	1	21	1	29	3	323	1560	76	24	96.058655	relating
5	1	21	1	29	4	407	1564	18	15	96.058655	to
5	1	21	1	29	5	434	1561	54	18	91.422585	Items
5	1	21	1	29	6	496	1560	36	19	96.375114	that
5	1	21	1	29	7	541	1560	36	18	96.453323	will
5	1	21	1	29	8	588	1563	30	15	96.453323	not
5	1	21	1	29	9	627	1560	23	18	96.681137	be
5	1	21	1	29	10	658	1559	114	19	96.870369	reclassified
5	1	21	1	29	11	781	1563	18	15	94.766930	to
5	1	21	1	29	12	808	1563	96	15	94.766930	statement
5	1	21	1	29	13	913	1559	23	19	96.937157	of
5	1	21	1	29	14	942	1559	54	24	96.417282	profit
5	1	21	1	29	15	1005	1559	35	19	96.700302	and
5	1	21	1	29	16	1050	1559	39	19	96.676208	loss
5	1	21	1	29	17	1318	1559	61	21	96.353065	(0.29)
5	1	21	1	29	18	1586	1558	61	21	96.696968	(0.20)
5	1	21	1	29	19	1829	1557	61	20	96.512535	(0.29)
5	1	21	1	29	20	2091	1556	65	22	93.811440	(0.13)
4	1	21	1	30	0	174	1594	1973	28	-1	
5	1	21	1	30	1	174	1600	57	18	87.542793	Total
5	1	21	1	30	2	240	1600	58	17	96.360771	other
5	1	21	1	30	3	306	1599	162	23	96.500374	comprehensive
5	1	21	1	30	4	476	1598	76	19	95.796432	income
5	1	21	1	30	5	560	1599	61	22	95.414795	(loss),
5	1	21	1	30	6	631	1601	30	15	95.414795	net
5	1	21	1	30	7	671	1594	19	32	96.969223	of
5	1	21	1	30	8	700	1598	31	18	96.823486	tax
5	1	21	1	30	9	1327	1597	43	18	96.297623	0.86
5	1	21	1	30	10	1595	1596	44	18	96.093163	0.60
5	1	21	1	30	11	1838	1595	43	18	96.514175	0.87
5	1	21	1	30	12	2100	1594	47	18	95.668892	0.39
4	1	21	1	31	0	129	1631	2018	29	-1	
5	1	21	1	31	1	129	1637	24	17	77.019852	IX
5	1	21	1	31	2	166	1631	6	33	0.000000	|
5	1	21	1	31	3	174	1637	57	18	0.000000	Total
5	1	21	1	31	4	240	1636	163	24	96.547211	comprehensive
5	1	21	1	31	5	412	1636	75	18	96.139565	income
5	1	21	1	31	6	497	1636	30	18	96.808891	for
5	1	21	1	31	7	535	1636	32	18	96.419312	the
5	1	21	1	31	8	576	1636	69	23	93.261261	period
5	1	21	1	31	9	653	1635	7	18	93.156570	/
5	1	21	1	31	10	667	1641	48	18	96.579453	year
5	1	21	1	31	11	1301	1634	69	18	96.002510	854.09
5	1	21	1	31	12	1569	1633	69	18	93.325798	706.53
5	1	21	1	31	13	1811	1632	70	18	94.418388	305.66
5	1	21	1	31	14	2054	1631	93	21	85.637062	2,058.55
4	1	21	1	32	0	176	1671	1971	28	-1	
5	1	21	1	32	1	176	1675	47	19	96.876732	Paid
5	1	21	1	32	2	233	1681	26	18	96.459740	up
5	1	21	1	32	3	268	1675	67	24	96.856110	equity
5	1	21	1	32	4	343	1675	59	18	96.851921	share
5	1	21	1	32	5	410	1675	72	23	96.883614	capital
5	1	21	1	32	6	491	1674	51	23	96.958855	(face
5	1	21	1	32	7	550	1675	57	18	96.638054	value
5	1	21	1	32	8	617	1674	20	19	92.976624	of
5	1	21	1	32	9	647	1675	20	17	19.814316	%2
5	1	21	1	32	10	677	1680	35	18	95.712463	per
5	1	21	1	32	11	720	1675	66	21	95.712463	share)
5	1	21	1	32	12	1304	1673	66	18	88.609993	113.88
5	1	21	1	32	13	1572	1672	67	18	83.843369	113.88
5	1	21	1	32	14	1815	1671	64	18	80.715103	113.31
5	1	21	1	32	15	2076	1671	71	17	96.276176	113.88
4	1	21	1	33	0	174	1709	1974	29	-1	
5	1	21	1	33	1	174	1714	66	19	96.630455	Other
5	1	21	1	33	2	247	1714	68	24	97.007004	equity
5	1	21	1	33	3	2055	1709	93	20	92.897774	7,119.10
4	1	21	1	34	0	176	1751	595	24	-1	
5	1	21	1	34	1	176	1752	98	23	95.644547	Earnings
5	1	21	1	34	2	284	1758	36	17	96.911438	per
5	1	21	1	34	3	327	1752	65	23	96.357933	equity
5	1	21	1	34	4	402	1752	58	18	96.503693	share
5	1	21	1	34	5	474	1751	52	23	95.963310	(face
5	1	21	1	34	6	534	1752	57	17	95.963310	value
5	1	21	1	34	7	599	1751	23	18	92.055168	of
5	1	21	1	34	8	629	1751	23	18	53.264488	%2
5	1	21	1	34	9	662	1757	35	17	96.518211	per
5	1	21	1	34	10	704	1751	67	22	96.309792	share)
4	1	21	1	35	0	176	1784	1981	28	-1	
5	1	21	1	35	1	176	1790	56	18	94.739174	Basic
5	1	21	1	35	2	240	1790	28	22	81.119347	(in
5	1	21	1	35	3	285	1790	66	21	81.119347	INR)*
5	1	21	1	35	4	1318	1787	52	17	95.993141	14.98
5	1	21	1	35	5	1586	1786	51	17	95.079422	12.43
5	1	21	1	35	6	1839	1785	42	17	94.066383	5.38
5	1	21	1	35	7	2097	1784	60	17	85.912102	36.30
4	1	21	1	36	0	176	1822	1981	27	-1	
5	1	21	1	36	1	176	1827	78	18	96.800018	Diluted
5	1	21	1	36	2	263	1827	27	22	54.746300	(in
5	1	21	1	36	3	308	1827	65	21	90.199051	INR)*
5	1	21	1	36	4	1318	1824	52	18	94.811447	14.98
5	1	21	1	36	5	1586	1823	51	18	95.670601	12.43
5	1	21	1	36	6	1839	1822	42	18	95.219788	5.38
5	1	21	1	36	7	2096	1822	61	17	71.940735	36,30)
2	1	22	0	0	0	177	1862	402	25	-1	
3	1	22	1	0	0	177	1862	402	25	-1	
4	1	22	1	1	0	177	1862	402	25	-1	
5	1	22	1	1	1	177	1864	9	9	92.769485	*
5	1	22	1	1	2	194	1864	36	18	82.920456	Not
5	1	22	1	1	3	237	1863	151	23	82.920456	annualised
5	1	22	1	1	4	354	1858	31	33	96.851601	for
5	1	22	1	1	5	395	1863	29	18	96.455750	the
5	1	22	1	1	6	433	1867	77	20	96.667358	quarter
5	1	22	1	1	7	517	1862	62	19	96.343483	ended
2	1	23	0	0	0	71	1885	2095	12	-1	
3	1	23	1	0	0	71	1885	2095	12	-1	
4	1	23	1	1	0	71	1885	2095	12	-1	
5	1	23	1	1	1	71	1885	2095	12	95.000000	 
2	1	24	0	0	0	1051	2059	855	383	-1	
3	1	24	1	0	0	1051	2059	855	383	-1	
4	1	24	1	1	0	1051	2059	855	383	-1	
5	1	24	1	1	1	1051	2059	855	383	95.000000	 
